 RT , ねぇねぇみんな聞いて：
&#x3046p;,worldwidewebに投稿
&#x30c9N;,びっくりするほど普通の方
(ry,（この先はひ・み・つ♡）
(☝ ՞ਊ ՞）☝ｳｨｲｨｲｨｲｲｨｲ【ｗ】&#xff0aw;,ﾙﾝ♪ o(≧▽≦)o ﾙﾝ♪
(☝ ՞ਊ ՞）☝ｳｨｲｨｲｨｲｲｨｲｗｗｗｗｗｗ,ﾙﾝ♪ o(≧▽≦)o ﾙﾝ♪
100パー,世の中に絶対なんてないけど、絶対
ATM,お金が出てくる魔法の箱
B専,面食い
B級グルメ,パスタ
CEO,最高経営責任者
CM,広告映像
DD,博愛主義者
DQN,ピュア
DQNネーム,斬新で画期的なネーム
F U C K,パッソ♡
FUCK,パッソ♡
Fuck,パッソ♡
Fラン,のびしろがある大学
Fランク大学,のびしろがある大学
GHQ,帰宅部
GM彼氏,ゲーム上の彼氏
Google先生,非常に優れた検索エンジン
JC,女子中学生
JD,女子大生
JK,女子高生
JS,女子小学生
KY,つまらないルールにとらわれない
KY,空気は読むものじゃない！
LINE,大切な人との連絡手段
OB訪問,もしもし先輩
OLさん,キラキラ女子
TPO,社会を保つ秩序
USA,アメリカ合衆国
facebook,「いいね！」広場
fuck,パッソ♡
gdgd,のんびり
hogehoge,（お昼寝したい）
hshs,（興奮時の呼吸音）
kwsk,詳しく
orz,でも、負けない！がんばる！
pgr,プッ、ゲラゲラ
twitter,おしゃべり広場
wktk,わくわくして期待している
あ、,あら、
あいかた,愛する人
あいしてる,この身を投げ出してもかまわない
あいしゃどー,魔法の絵具
あいそわらい,現代版アルカイックスマイル
あいた,あらあらまあまあ
あいたい,わがままって分かってるけど、会いたい
あいつ,あの方
あいて,今わたしが向き合う方
あいであ,世界を変えるヒラメキ
あいどる,神様
あいにく,お気のどくさま
あいよ,承知いたしましたわ
あうぇい,お母さんの後ろに隠れたい状況
あうぇー,おうちに帰りたい…
あうとおぶがんちゅう,愉快な仲間たち
あえぎごえ,歌声
あえて,勇気を出して
あかてん,マークシートがズレたテスト
あかん,いけないわ
あがる,交感神経が刺激される
あきっぽ,いろんなことに好奇心旺盛
あきっぽい,ワクドキしたい
あくどい,頭がよろしい
あくどさ,作戦
あくにん,実はいい人
あくび,おおきめの深呼吸
あくま,デーモンさん
あくめ,トップオブザワールド
あけおめ,明けましておめでとうございます。
あけおめことよろ,明けましておめでとうございます。
あけましておめでとう,謹賀新年
あげ,上に参る
あげあげ,スーパーウルトラハッピー
あげぽよ,さすがの私もハジけちゃうわ☆
あげまん,ラッキーアイテムみたいな女の子
あご,お口の下の力持ち
あさがえり,お父様の方角に謝る行為
あさくさ,江戸な所
あさしゃん,グッドモーニングシャンプー
あざす,ありがとっ♪
あざっす,ありがとぉ♡
あざとい,分かっちゃいるけど素敵
あざます,ありがたきしあわせ
あした,夜の妖精が連れて行ってくれる新しい日
あたい,わたし
あたし,わたし
あたまおかし,ある意味、天才
あたまがぱー,お花畑
あたまひや,ご自愛くださいま
あたまわる,大器晩成
あたまわるい,大器晩成
あたりまえ,ザッツライト
あちぃ,ふぅ…あ…っつぅい…
あちゃ,あら
あちゃあ,あらま
あっかんべー,( ›◡ु‹ )
あてうま,ピエロさん
あなる,♡♡♡
あぬす,出口
